Observation ID,Common Name,Scientific Name,Family,Genus,Observed Length (m),Observed Weight (kg),Age Class,Sex,Date of Observation,Country/Region,Habitat Type,Conservation Status,Observer Name,Notes
542,West African Dwarf Crocodile,Osteolaemus tetraspis,Crocodylidae,Osteolaemus,0.97,10.4,Adult,Male,06-02-2016,Ghana,Small Streams,Vulnerable,Timothy Torres,Hard head commercial money sometimes perhaps its represent budget third capital.
441,Nile Crocodile,Crocodylus niloticus,Crocodylidae,Crocodylus,3.91,512.7,Subadult,Female,15-05-2005,Kenya,Marshes,Least Concern,Carl Benson,Film decide wonder interesting several.
483,Nile Crocodile,Crocodylus niloticus,Crocodylidae,Crocodylus,3.43,334.3,Adult,Female,30-06-2020,Sudan,Rivers,Least Concern,Mr. Gary Mitchell DVM,Hour opportunity week student child.
423,American Crocodile,Crocodylus acutus,Crocodylidae,Crocodylus,3.02,183.4,Adult,Unknown,04-01-2012,Venezuela,Coastal Lagoons,Vulnerable,Brian Hernandez,Themselves minute physical fall wide must car get.
779,West African Dwarf Crocodile,Osteolaemus tetraspis,Crocodylidae,Osteolaemus,1.49,25.2,Adult,Unknown,03-11-2010,Ghana,Small Streams,Vulnerable,Carl Khan,Over reach ahead environmental Democrat surface important no.
950,Central African Slender-snouted Crocodile,Mecistops leptorhynchus,Crocodylidae,Mecistops,2.69,125.3,Adult,Unknown,28-04-2018,Cameroon,Forest Rivers,Endangered,Craig Crawford,Field western near direction main rich item water civil.
335,West African Crocodile,Crocodylus suchus,Crocodylidae,Crocodylus,1.36,45.7,Juvenile,Female,15-02-2009,Chad,Lakes,Least Concern,Jimmy Ortega,Coach Congress husband front citizen your.
577,Siamese Crocodile,Crocodylus siamensis,Crocodylidae,Crocodylus,0.91,36.9,Juvenile,Unknown,22-04-2020,Thailand,Slow Rivers,Critically Endangered,Scott Cross,Man understand wait wife health majority political open.
935,West African Dwarf Crocodile,Osteolaemus tetraspis,Crocodylidae,Osteolaemus,1.46,18.0,Adult,Female,26-03-2024,Guinea,Small Streams,Vulnerable,Victoria Tanner,Concern perhaps quality true book various whether.
568,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.4,765.7,Adult,Male,01-03-2006,India,Mangroves,Least Concern,Evelyn Reid,Within project attack adult treatment large memory score me.
595,West African Crocodile,Crocodylus suchus,Crocodylidae,Crocodylus,2.32,102.4,Subadult,Unknown,06-02-2016,Chad,Lakes,Least Concern,Kevin Lee,Woman floor half quickly someone mind own develop house Mrs leave certain wall.
531,West African Crocodile,Crocodylus suchus,Crocodylidae,Crocodylus,2.77,133.6,Subadult,Unknown,15-07-2018,Mauritania,Lakes,Least Concern,Robert Watkins,Various subject east list when strategy start mind door.
582,Central African Slender-snouted Crocodile,Mecistops leptorhynchus,Crocodylidae,Mecistops,2.82,160.9,Adult,Unknown,24-11-2018,Gabon,Forest Rivers,Endangered,Robin Adams,Us huge final would staff ability attorney recent modern pressure run.
708,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylidae,Crocodylus,2.72,103.5,Adult,Male,01-09-2021,Australia,Billabongs,Least Concern,Michael Jackson,Tonight center actually listen free concern.
449,Siamese Crocodile,Crocodylus siamensis,Crocodylidae,Crocodylus,2.09,89.4,Subadult,Male,19-06-2019,Laos,Swamps,Critically Endangered,Jennifer Mills,Budget house reason within scientist throughout.
454,Mugger Crocodile (Marsh Crocodile),Crocodylus palustris,Crocodylidae,Crocodylus,2.52,118.3,Adult,Female,29-04-2005,Pakistan,Rivers,Vulnerable,Carly Jordan,Resource maintain body push process rate occur live.
229,Orinoco Crocodile,Crocodylus intermedius,Crocodylidae,Crocodylus,2.99,215.3,Juvenile,Female,16-12-2012,Venezuela,Large Rivers,Critically Endangered,Shawn Vaughn,Second TV today after stage.
353,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,2.59,87.1,Subadult,Unknown,07-09-2016,Mexico,Rivers,Least Concern,Andrew Duran,Understand wear development provide dark daughter computer.
729,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylidae,Crocodylus,2.49,97.9,Adult,Female,23-03-2019,Papua New Guinea,Freshwater Wetlands,Least Concern,Andrew Christian,Discuss professor material quickly food.
213,Central African Slender-snouted Crocodile,Mecistops leptorhynchus,Crocodylidae,Mecistops,2.61,134.2,Subadult,Male,07-07-2012,Gabon,Swamps,Endangered,Wendy Thompson,Or south recently trial agreement red way nor none could write think.
80,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.07,791.7,Adult,Female,05-03-2018,Malaysia,Mangroves,Least Concern,Larry Garcia,Table prepare shoulder result Democrat later direction fund.
149,West African Dwarf Crocodile,Osteolaemus tetraspis,Crocodylidae,Osteolaemus,1.47,21.3,Adult,Male,07-11-2010,Côte d'Ivoire,Forest Swamps,Vulnerable,Sarah Davis,Appear help painting always authority source onto provide describe decade.
303,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,2.61,119.8,Adult,Unknown,07-05-2015,Cuba,Swamps,Critically Endangered,Nina Ali,Race to television loss election him small detail.
629,American Crocodile,Crocodylus acutus,Crocodylidae,Crocodylus,3.71,275.8,Subadult,Unknown,27-11-2020,Colombia,Mangroves,Vulnerable,Andrew Mooney,International pattern before anything.
778,Central African Slender-snouted Crocodile,Mecistops leptorhynchus,Crocodylidae,Mecistops,3.0,190.5,Adult,Male,01-08-2009,Cameroon,Swamps,Endangered,Erika Bates,Computer what produce girl.
507,Philippine Crocodile,Crocodylus mindorensis,Crocodylidae,Crocodylus,1.45,41.6,Juvenile,Female,19-07-2022,Philippines,Freshwater Marshes,Critically Endangered,Raymond Barber,Book art health phone great answer prepare by.
343,West African Crocodile,Crocodylus suchus,Crocodylidae,Crocodylus,2.28,97.8,Adult,Female,22-02-2010,Mauritania,Oases,Least Concern,Ann Powers,Half couple general pretty show college glass start sort perhaps key.
486,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylidae,Crocodylus,1.61,39.8,Juvenile,Male,20-01-2021,Papua New Guinea,Rivers,Least Concern,James Powell,Building make it south financial rate.
712,Central African Slender-snouted Crocodile,Mecistops leptorhynchus,Crocodylidae,Mecistops,1.6,56.3,Juvenile,Male,05-10-2020,Congo Basin Countries,Forest Rivers,Endangered,Andre Lane,Grow season create western police whole theory quickly tonight last when money.
134,Nile Crocodile,Crocodylus niloticus,Crocodylidae,Crocodylus,4.55,621.4,Adult,Male,17-02-2013,Nigeria,Marshes,Least Concern,Tonya Howe,Across nothing blue work.
704,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylidae,Crocodylus,0.81,24.1,Juvenile,Male,09-08-2020,Australia,Billabongs,Least Concern,Shawn Mcgee,Admit leave environment live most.
312,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylidae,Crocodylus,1.34,43.5,Juvenile,Female,03-12-2015,Papua New Guinea,Freshwater Wetlands,Least Concern,Alejandro Martinez,Current office power company sister great pull maintain say threat high expert place certain cold space front piece occur.
723,American Crocodile,Crocodylus acutus,Crocodylidae,Crocodylus,2.76,167.6,Subadult,Male,18-08-2023,Mexico,Coastal Lagoons,Vulnerable,William Smith,Perhaps customer attack check they mind easy billion agency media hospital unit feel low.
630,West African Crocodile,Crocodylus suchus,Crocodylidae,Crocodylus,2.4,109.3,Subadult,Female,20-07-2010,Sudan,Oases,Least Concern,Eric Schultz,Develop international article interview appear body hair.
1,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,1.9,62.0,Adult,Male,31-03-2018,Belize,Swamps,Least Concern,Allison Hill,Cause bill scientist nation opportunity.
317,West African Slender-snouted Crocodile,Mecistops cataphractus,Crocodylidae,Mecistops,2.94,142.5,Adult,Unknown,08-05-2020,Côte d'Ivoire,Shaded Forest Rivers,Critically Endangered,Denise Wallace,Computer our piece player nor model police finally girl.
707,Nile Crocodile,Crocodylus niloticus,Crocodylidae,Crocodylus,3.59,338.5,Adult,Unknown,24-08-2024,South Africa,Marshes,Least Concern,Joseph Hill,Record identify hotel detail station reality manager commercial data PM relationship explain about continue traditional performance school system reach.
